Seasons: 4644 4684 4646 4647 4648 4744,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015
Field,Start Time,End Time,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away
Bubb U6 1,15:15,17:00,45-U6B-1,45-U6B-2,45-U6B-5,45-U6B-1,45-U6B-1,45-U6B-8,45-U6B-11,45-U6B-1,45-U6B-1,45-U6B-14,45-U6B-3,45-U6B-1,45-U6B-1,45-U6B-6,45-U6B-9,45-U6B-1,45-U6B-1,45-U6B-12,45-U6B-1,45-U6B-4
Bubb U6 2,15:15,17:00,45-U6B-3,45-U6B-21,45-U6B-4,45-U6B-2,45-U6B-2,45-U6B-7,45-U6B-10,45-U6B-2,45-U6B-2,45-U6B-13,45-U6B-22,45-U6B-2,45-U6B-2,45-U6B-5,45-U6B-8,45-U6B-2,45-U6B-2,45-U6B-11,45-U6B-2,45-U6B-3
Bubb U6 3,15:15,17:00,45-U6B-4,45-U6B-20,45-U6B-22,45-U6B-3,45-U6B-3,45-U6B-6,45-U6B-9,45-U6B-3,45-U6B-3,45-U6B-12,45-U6B-21,45-U6B-4,45-U6B-3,45-U6B-4,45-U6B-7,45-U6B-3,45-U6B-3,45-U6B-10,45-U6B-5,45-U6B-21
Bubb U6 4,15:15,17:00,45-U6B-5,45-U6B-19,45-U6B-21,45-U6B-6,45-U6B-4,45-U6B-5,45-U6B-8,45-U6B-4,45-U6B-4,45-U6B-11,45-U6B-20,45-U6B-5,45-U6B-7,45-U6B-21,45-U6B-6,45-U6B-4,45-U6B-4,45-U6B-9,45-U6B-6,45-U6B-20
Bubb U6 5,15:15,17:00,45-U6B-6,45-U6B-18,45-U6B-20,45-U6B-7,45-U6B-9,45-U6B-21,45-U6B-7,45-U6B-5,45-U6B-5,45-U6B-10,45-U6B-19,45-U6B-6,45-U6B-8,45-U6B-20,45-U6B-22,45-U6B-5,45-U6B-5,45-U6B-8,45-U6B-7,45-U6B-19
Bubb U6 6,15:15,17:00,45-U6B-7,45-U6B-17,45-U6B-19,45-U6B-8,45-U6B-10,45-U6B-20,45-U6B-22,45-U6B-6,45-U6B-6,45-U6B-9,45-U6B-18,45-U6B-7,45-U6B-9,45-U6B-19,45-U6B-21,45-U6B-10,45-U6B-6,45-U6B-7,45-U6B-8,45-U6B-18
Bubb U6 7,15:15,17:00,45-U6B-8,45-U6B-16,45-U6B-18,45-U6B-9,45-U6B-11,45-U6B-19,45-U6B-21,45-U6B-12,45-U6B-7,45-U6B-8,45-U6B-17,45-U6B-8,45-U6B-10,45-U6B-18,45-U6B-20,45-U6B-11,45-U6B-13,45-U6B-21,45-U6B-9,45-U6B-17
Bubb U6 8,15:15,17:00,45-U6B-9,45-U6B-15,45-U6B-17,45-U6B-10,45-U6B-12,45-U6B-18,45-U6B-20,45-U6B-13,45-U6B-15,45-U6B-21,45-U6B-16,45-U6B-9,45-U6B-11,45-U6B-17,45-U6B-19,45-U6B-12,45-U6B-14,45-U6B-20,45-U6B-10,45-U6B-16
Bubb U6 9,15:15,17:00,45-U6B-10,45-U6B-14,45-U6B-16,45-U6B-11,45-U6B-13,45-U6B-17,45-U6B-19,45-U6B-14,45-U6B-16,45-U6B-20,45-U6B-15,45-U6B-10,45-U6B-12,45-U6B-16,45-U6B-18,45-U6B-13,45-U6B-15,45-U6B-19,45-U6B-11,45-U6B-15
Bubb U6 11,15:15,17:00,45-U6B-11,45-U6B-13,45-U6B-15,45-U6B-12,45-U6B-14,45-U6B-16,45-U6B-18,45-U6B-15,45-U6B-17,45-U6B-19,45-U6B-14,45-U6B-11,45-U6B-13,45-U6B-15,45-U6B-17,45-U6B-14,45-U6B-16,45-U6B-18,45-U6B-12,45-U6B-14
Bubb U6 12,15:15,17:00,45-U6B-12,45-U6B-22,45-U6B-14,45-U6B-13,45-U6B-15,45-U6B-22,45-U6B-17,45-U6B-16,45-U6B-18,45-U6B-22,45-U6B-13,45-U6B-12,45-U6B-14,45-U6B-22,45-U6B-16,45-U6B-15,45-U6B-17,45-U6B-22,45-U6B-13,45-U6B-22



Team,#Home,#Away,#Total
45-U6B-1,11,10,21
45-U6B-2,10,11,21
45-U6B-3,11,10,21
45-U6B-4,10,11,21
45-U6B-5,11,10,21
45-U6B-6,10,11,21
45-U6B-7,11,10,21
45-U6B-8,10,11,21
45-U6B-9,11,10,21
45-U6B-10,10,11,21
45-U6B-11,11,10,21
45-U6B-12,10,11,21
45-U6B-13,11,10,21
45-U6B-14,10,11,21
45-U6B-15,11,10,21
45-U6B-16,10,11,21
45-U6B-17,11,10,21
45-U6B-18,10,11,21
45-U6B-19,11,10,21
45-U6B-20,10,11,21
45-U6B-21,11,10,21
45-U6B-22,10,11,21
