Seasons: 4644 4684 4646 4647 4648 4744,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015
Field,Start Time,End Time,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away
Bubb U6 1,13:30,15:15,45-U6G-1,45-U6G-2,45-U6G-5,45-U6G-1,45-U6G-1,45-U6G-8,45-U6G-11,45-U6G-1,45-U6G-1,45-U6G-14,45-U6G-3,45-U6G-1,45-U6G-1,45-U6G-6,45-U6G-9,45-U6G-1,45-U6G-1,45-U6G-12,45-U6G-1,45-U6G-4
Bubb U6 2,13:30,15:15,45-U6G-3,45-U6G-13,45-U6G-4,45-U6G-2,45-U6G-2,45-U6G-7,45-U6G-10,45-U6G-2,45-U6G-2,45-U6G-13,45-U6G-14,45-U6G-2,45-U6G-2,45-U6G-5,45-U6G-8,45-U6G-2,45-U6G-2,45-U6G-11,45-U6G-2,45-U6G-3
Bubb U6 3,13:30,15:15,45-U6G-4,45-U6G-12,45-U6G-14,45-U6G-3,45-U6G-3,45-U6G-6,45-U6G-9,45-U6G-3,45-U6G-3,45-U6G-12,45-U6G-13,45-U6G-4,45-U6G-3,45-U6G-4,45-U6G-7,45-U6G-3,45-U6G-3,45-U6G-10,45-U6G-5,45-U6G-13
Bubb U6 4,13:30,15:15,45-U6G-5,45-U6G-11,45-U6G-13,45-U6G-6,45-U6G-4,45-U6G-5,45-U6G-8,45-U6G-4,45-U6G-4,45-U6G-11,45-U6G-12,45-U6G-5,45-U6G-7,45-U6G-13,45-U6G-6,45-U6G-4,45-U6G-4,45-U6G-9,45-U6G-6,45-U6G-12
Bubb U6 5,13:30,15:15,45-U6G-6,45-U6G-10,45-U6G-12,45-U6G-7,45-U6G-9,45-U6G-13,45-U6G-7,45-U6G-5,45-U6G-5,45-U6G-10,45-U6G-11,45-U6G-6,45-U6G-8,45-U6G-12,45-U6G-14,45-U6G-5,45-U6G-5,45-U6G-8,45-U6G-7,45-U6G-11
Bubb U6 6,13:30,15:15,45-U6G-7,45-U6G-9,45-U6G-11,45-U6G-8,45-U6G-10,45-U6G-12,45-U6G-14,45-U6G-6,45-U6G-6,45-U6G-9,45-U6G-10,45-U6G-7,45-U6G-9,45-U6G-11,45-U6G-13,45-U6G-10,45-U6G-6,45-U6G-7,45-U6G-8,45-U6G-10
Bubb U6 7,13:30,15:15,45-U6G-8,45-U6G-14,45-U6G-10,45-U6G-9,45-U6G-11,45-U6G-14,45-U6G-13,45-U6G-12,45-U6G-7,45-U6G-8,45-U6G-9,45-U6G-8,45-U6G-10,45-U6G-14,45-U6G-12,45-U6G-11,45-U6G-13,45-U6G-14,45-U6G-9,45-U6G-14



Team,#Home,#Away,#Total
45-U6G-1,7,6,13
45-U6G-2,6,7,13
45-U6G-3,7,6,13
45-U6G-4,6,7,13
45-U6G-5,7,6,13
45-U6G-6,6,7,13
45-U6G-7,7,6,13
45-U6G-8,6,7,13
45-U6G-9,7,6,13
45-U6G-10,6,7,13
45-U6G-11,7,6,13
45-U6G-12,6,7,13
45-U6G-13,7,6,13
45-U6G-14,6,7,13
