Seasons: 4644 4684 4646 4647 4648 4744,,,,,,Week,1,9/12/2015,2,9/19/2015,3,9/26/2015,4,10/3/2015,5,10/10/2015,6,10/17/2015,7,10/24/2015,8,10/31/2015,9,11/7/2015,10,11/14/2015,11,11/21/2015,,,,
,,,,,,,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,Home,Away,,,,
Region,WYS Field Name,Field ID,Game Starts,Game Ends,B/G/A,Order,,,,,,,,,,,,,,,,,,,,,,,,,Constraints/Requests,
25,PV Town Center,501,9:30,11:15,A,1,25-U14G-1,26-U14G-2,25-U14G-1,26-U14G-3,,,25-U14G-1,43-U14G-1,,,,,25-U14G-1,26-U14G-3,,,25-U14G-1,43-U14G-2,,,,,,,Brian Eugeni (U14B-2 and U14B-9) Deconflicting,
26,Mayfield S,1262,8:30,10:15,A,2,26-U14B-5,26-U14B-4,26-U14B-3,109-U14B-5,,,26-U14G-3,26-U14G-2,26-U14B-5,26-U14B-4,26-U14B-2,26-U14B-5,26-U14B-3,45-U14B-3,26-U14G-3,26-U14G-2,26-U14B-2,45-U14B-4,26-U14B-5,26-U14B-2,,,,,Ryan Ott (U14G-2) U6 Deconflicting:,
26,Mayfield S,1262,10:15,12:00,A,1,26-U14B-2,26-U14B-3,26-U14G-2,109-U14G-5,,,26-U14B-5,26-U14B-3,26-U14B-3,26-U14B-2,26-U14B-3,26-U14B-4,26-U14B-4,43-U14B-1,26-U14B-4,26-U14B-2,26-U14B-4,45-U14B-7,26-U14B-4,26-U14B-3,,,,,Andrew Carrillo (U14G-4) U12B Deconflicting (see email from Drew for schedule),
26,Mayfield S,1262,12:00,13:45,A,3,26-U14G-3,43-U14G-2,26-U14B-4,109-U14B-4,,,26-U14B-2,26-U14B-4,26-U14G-2,25-U14G-1,26-U14G-3,43-U14G-1,26-U14G-2,45-U14G-3,26-U14B-5,26-U14B-3,26-U14G-2,43-U14G-1,26-U14G-2,43-U14G-2,,,,,,
43,Hillview Los Altos,32,8:15,10:00,G,2,,,,,43-U14G-1,26-U14G-2,,,,,,,,,,,,,,,43-U14G-1,45-U14G-1,,,,
43,Hillview Los Altos,32,10:00,11:45,G,1,43-U14G-1,109-U14G-4,43-U14G-2,43-U14G-1,43-U14G-2,25-U14G-1,43-U14G-2,45-U14G-6,43-U14G-2,26-U14G-3,43-U14G-2,26-U14G-2,43-U14G-1,43-U14G-2,43-U14G-1,25-U14G-1,,,43-U14G-1,26-U14G-3,43-U14G-2,45-U14G-2,,,109-U14B-1,"9/19 Hillview 2pm (switch with any of the earlier three games, probably not the first game as the opponents are coming from a distance)"
43,Egan Track,1081,13:15,15:00,B,1,43-U14B-1,43-U14B-2,,,43-U14B-2,26-U14B-3,43-U14B-1,109-U14B-4,,,43-U14B-1,43-U14B-2,43-U14B-2,26-U14B-5,,,43-U14B-1,45-U14B-6,43-U14B-2,45-U14B-5,43-U14B-1,43-U14B-2,,,,"10/3 Hillview 12:15pm (appears to be a bye week in the 8:45 slot??? if so, move to that time)"
43,Egan Track,1081,15:00,16:45,B,2,,,,,43-U14B-1,26-U14B-2,43-U14B-2,109-U14B-5,,,,,,,,,43-U14B-2,109-U14B-4,,,,,,,,DVH: Not sure what they are talking about as there is a girls game scheduled in the 8:45am slot.
