Seasons: 4644 4684 4646 4647 4648 4744
Week	Start	End	Field	Home	Away
9/12/2015	9:30	11:15	PV Town Center	25-U14G-1	26-U14G-2	
9/19/2015	9:30	11:15	PV Town Center	25-U14G-1	26-U14G-3	
10/3/2015	9:30	11:15	PV Town Center	25-U14G-1	43-U14G-1	
10/24/2015	9:30	11:15	PV Town Center	25-U14G-1	26-U14G-3	
11/7/2015	9:30	11:15	PV Town Center	25-U14G-1	43-U14G-2	
9/12/2015	8:30	10:15	Mayfield S	26-U14B-5	26-U14B-4	
9/19/2015	8:30	10:15	Mayfield S	26-U14B-3	109-U14B-5	
10/3/2015	8:30	10:15	Mayfield S	26-U14G-3	26-U14G-2	
10/10/2015	8:30	10:15	Mayfield S	26-U14B-5	26-U14B-4	
10/17/2015	8:30	10:15	Mayfield S	26-U14B-2	26-U14B-5	
10/24/2015	8:30	10:15	Mayfield S	26-U14B-3	45-U14B-3	
10/31/2015	8:30	10:15	Mayfield S	26-U14G-3	26-U14G-2	
11/7/2015	8:30	10:15	Mayfield S	26-U14B-2	45-U14B-4	
11/14/2015	8:30	10:15	Mayfield S	26-U14B-5	26-U14B-2	
9/12/2015	10:15	12:00	Mayfield S	26-U14B-2	26-U14B-3	
9/19/2015	10:15	12:00	Mayfield S	26-U14G-2	109-U14G-5	
10/3/2015	10:15	12:00	Mayfield S	26-U14B-5	26-U14B-3	
10/10/2015	10:15	12:00	Mayfield S	26-U14B-3	26-U14B-2	
10/17/2015	10:15	12:00	Mayfield S	26-U14B-3	26-U14B-4	
10/24/2015	10:15	12:00	Mayfield S	26-U14B-4	43-U14B-1	
10/31/2015	10:15	12:00	Mayfield S	26-U14B-4	26-U14B-2	
11/7/2015	10:15	12:00	Mayfield S	26-U14B-4	45-U14B-7	
11/14/2015	10:15	12:00	Mayfield S	26-U14B-4	26-U14B-3	
9/12/2015	12:00	13:45	Mayfield S	26-U14G-3	43-U14G-2	
9/19/2015	12:00	13:45	Mayfield S	26-U14B-4	109-U14B-4	
10/3/2015	12:00	13:45	Mayfield S	26-U14B-2	26-U14B-4	
10/10/2015	12:00	13:45	Mayfield S	26-U14G-2	25-U14G-1	
10/17/2015	12:00	13:45	Mayfield S	26-U14G-3	43-U14G-1	
10/24/2015	12:00	13:45	Mayfield S	26-U14G-2	45-U14G-3	
10/31/2015	12:00	13:45	Mayfield S	26-U14B-5	26-U14B-3	
11/7/2015	12:00	13:45	Mayfield S	26-U14G-2	43-U14G-1	
11/14/2015	12:00	13:45	Mayfield S	26-U14G-2	43-U14G-2	
9/26/2015	8:15	10:00	Hillview Los Altos	43-U14G-1	26-U14G-2	
11/21/2015	8:15	10:00	Hillview Los Altos	43-U14G-1	45-U14G-1	
9/12/2015	10:00	11:45	Hillview Los Altos	43-U14G-1	109-U14G-4	
9/19/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	43-U14G-1	
9/26/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	25-U14G-1	
10/3/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	45-U14G-6	
10/10/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	26-U14G-3	
10/17/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	26-U14G-2	
10/24/2015	10:00	11:45	Hillview Los Altos	43-U14G-1	43-U14G-2	
10/31/2015	10:00	11:45	Hillview Los Altos	43-U14G-1	25-U14G-1	
11/14/2015	10:00	11:45	Hillview Los Altos	43-U14G-1	26-U14G-3	
11/21/2015	10:00	11:45	Hillview Los Altos	43-U14G-2	45-U14G-2	
9/12/2015	13:15	15:00	Egan Track	43-U14B-1	43-U14B-2	
9/26/2015	13:15	15:00	Egan Track	43-U14B-2	26-U14B-3	
