YSL ID	Organization	Name	Abbreviation	City
2521	RWC 1	49er Field Red Morton East	49er East	Redwood City
2502	RWC 1	49er Field Red Morton West	49er West	Redwood City
2522	RWC 1	49er Field Red Morton-Turf	49er	Redwood City
4505	Burl 63	BHS Practice Field	BHS Backfield	Burlingame
4575	Burl 63	BR - Franklin (U12)	Franklin for BR U12-WL	Burlingame
4574	Burl 63	BR - Franklin U14-WL	Franklin for BR U14-WL	Burlingame
4576	Burl 63	BR - Osberg for U09/10 - WL	Osberg for BR U10-WL	Burlingame
4772	Burl 63	BUR - San Mateo High School	SMHS	San Mateo
4965	Burl 63	Backfield - U12B	Backfield	Burlingame
4966	Burl 63	Backfield - U12G	Backfield	Burlingame
4528	Burl 63	Bayside - U12B	Bayside	Burlingame
4529	Burl 63	Bayside - U12G	Bayside	Burlingame
4962	Burl 63	Bechet - Red Morton Park - RWC	Bechet	Redwood City
497	RWC 1	Bechet/Griffin-Turf	Bechet/Griffin	Redwood City
4656	Sara. 27	Beth David	Beth David	Saratoga
3160	MV 45	Blach Intermediate School	Blach	Mountain View
1531	Bris. 1344	Brisbane Elementary	Brisbane Elem.	Brisbane
3581	MV 45	Bubb School	Bubb	Mountain View
2566	MP 109	Burgess Park	Burgess	Menlo Park
4415	SM 36	Burlingame HS Back Field	BHS Back Field	Burlingame
4504	Burl 63	Burlingame High School Football Stadium	BHS Football Field	Burlingame
3231	RWC 1	Canada College	Canada College	Redwood City
1533	Bel 108	Carlmont High School	Carlmont HS	Belmont
149	EPA  1149	Castano School	Castano	East Palo Alto
4285	FC 62	Catamaran East	Cat East	Foster City
220	FC 62	Catamaran Park	Catamaran	Foster City
4284	FC 62	Catamaran West	Cat West	Foster City
2595	LA 43	Covington	Covington	Los Altos
124	SB 249	Crestmoor High School Lower	Crestmoor Lower	San Bruno
132	SB 249	Crestmoor High School Upper  A	Crestmoor Up.-A	San Bruno
123	SB 249	Crestmoor High School Upper B	Crestmoor Up.-B	San Bruno
133	SC 107	Crestview Park	Crestview	San Carlos
2594	MV 45	Crittenden School	Crittenden	Mountain View
1617	PA 26	Cubberley Football Stadium Turf	Cubberley FS	Palo Alto
4507	Burl 63	Cuernavaca Park BOYS	Cuernavaca	Burlingame
3914	SV 44	Cupertino Middle School Track	CMS Track	Sunnyvale
2547	Cup. 35	De Anza College Turf	De Anza	Cupertino
4925	Cup. 35	Eaton Elementary School	Eaton Elementary	Cupertino
4828	FC 62	Edgewater	Edgewater	Foster City
1996	LA 43	Egan Junior High Track	Egan Track	Los Altos
4849	PA 26	Eleanor Pardee Park	Eleanor Pardee	Palo Alto
3977	Pac 157	Fairmont Field (St. Ignatius)	Fairmont-St. Ignatius	Pacifica
2498	Pac 157	Fairmont West Park	Fairmont West	Pacifica
3582	SV 44	Fairwood Park	Fairwood	Sunnyvale
4850	SM 36	Fiesta Meadows Park	Fiesta Meadows	San Mateo
4530	Burl 63	Franklin	Franklin	Burlingame
3880	Burl 63	Franklin Field	Franklin	Burlingame
498	DC 146	Gellert - Soccer Field	Gellert Park	Daly City
1546	DC 146	Gellert U10	Gellert U10	Daly City
4660	MV 45	Graham School Grass Field	Graham U10	Mountain View
2499	MV 45	Graham School Turf Field	Graham	Mountain View
4688	PA 26	Greer Park #1	Greer #1	Palo Alto
3886	PA 26	Greer Park #2	Greer #2	Palo Alto
4817	PA 26	Greer Park #4	Greer#4	Palo Alto
